Model,ROUGE-1,ROUGE-2,ROUGE-L,BLEU
GPT-2 Small,0.1653,0.0257,0.1075,0.0058
Flan-T5 Small ZS Prompt A,0.1724,0.0424,0.1139,0.0165
Flan-T5 Small ZS Prompt B,0.1528,0.0363,0.1016,0.0076
Flan-T5 Small ZS Prompt C,0.1852,0.0508,0.1283,0.0113
Flan-T5 Small Fine Tuned,0.2284,0.0242,0.1187,0.0042
Flan-T5 Base ZS Prompt A,0.216,0.049,0.1365,0.0181
Flan-T5 Base ZS Prompt B,0.2249,0.0458,0.138,0.0189
Flan-T5 Base ZS Prompt C,0.2295,0.0516,0.1371,0.0183
mT5 Small ZS Prompt A,0.0734,0.029,0.0648,0.0
mT5 Small ZS Prompt B,0.0812,0.0267,0.0701,0.0
mT5 Small ZS Prompt C,0.0645,0.0174,0.0567,0.0
